
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set FRONT_READ and time  0.1000000E+01

         1  8.565356E-03  3.172050E+00  4.099295E+00
         3 -8.565356E-03  3.172050E+00 -4.099295E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL_MEMBERS and time  0.1000000E+01

        26   2  4.086863E+00  6.092166E-02 -1.021050E-12 -4.989774E-01  1.546239E-13  1.260893E-12
        26   3  4.086863E+00  6.092166E-02 -6.632280E-13 -4.989774E-01  8.575622E-14 -1.613090E-13
        26   4  4.086863E+00  6.092166E-02 -8.262916E-13 -4.989774E-01  2.507009E-13  3.071133E-13
        26   5  4.086863E+00  6.092166E-02  2.607408E-12 -4.989774E-01  2.195509E-14 -1.485628E-12
        26   6  4.086863E+00  6.092166E-02 -1.956122E-12 -4.989774E-01  2.246175E-13  1.384344E-12
        26   7  4.086863E+00  6.092166E-02  3.651380E-13 -4.989774E-01  1.608164E-13 -5.304407E-13
        26   8  4.086863E+00  6.092166E-02 -2.119053E-12 -4.989774E-01  3.561604E-13  4.600249E-13
        27   1 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   2 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   3 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   4 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   5 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   6 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   7 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        27   8 -2.289371E+00 -3.412698E-02 -2.735111E+00  2.795162E-01 -2.502336E+00  3.055178E-01
        28   1 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   2 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   3 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   4 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   5 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   6 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   7 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        28   8 -4.368309E-02 -6.511710E-04 -5.218818E-02  5.333401E-03  4.774663E-02 -5.829531E-03
        29   1 -9.813557E-01 -1.462878E-02 -1.855931E-12 -1.198167E-01 -4.593681E-13  2.291774E-12
        29   2 -9.813557E-01 -1.462878E-02  1.116409E-12 -1.198167E-01  2.852286E-13  1.786432E-12
        29   3 -9.813557E-01 -1.462878E-02 -3.271910E-12 -1.198167E-01  1.331567E-12  3.172605E-12
        29   4 -9.813557E-01 -1.462878E-02  3.269592E-12 -1.198167E-01  8.646929E-13  1.113330E-12
        29   5 -9.813557E-01 -1.462878E-02 -6.945284E-13 -1.198167E-01 -4.698765E-13  2.459721E-12
        29   6 -9.813557E-01 -1.462878E-02 -2.410571E-13 -1.198167E-01  1.786432E-13  2.929973E-12
        29   7 -9.813557E-01 -1.462878E-02 -1.875843E-12 -1.198167E-01  1.397620E-12  3.681325E-12
        29   8 -9.813557E-01 -1.462878E-02  2.198428E-12 -1.198167E-01  7.956376E-13  2.077665E-12
        30   1 -4.086863E+00 -6.092166E-02  1.441139E-12 -4.989774E-01 -4.785085E-14 -5.747731E-13
        30   2 -4.086863E+00 -6.092166E-02  3.042124E-12 -4.989774E-01  1.294788E-13  4.138394E-13
        30   3 -4.086863E+00 -6.092166E-02  1.507158E-12 -4.989774E-01  6.286288E-14 -1.970329E-15
        30   4 -4.086863E+00 -6.092166E-02 -1.655080E-13 -4.989774E-01 -2.341877E-13  1.155457E-13
